Genesis block
1;Block 1 Data;2460681;2018-04-25 21:10:49.544773;-1;0000080915555d7166845ce7c75bce7ea3bdf9d21b089a07db71c24c66947ac7
53;64762;-1;2018-04-25 21:10:50.764346;53c9bd486b7aa019c025669f4ff1e5c92086e7badfc10a973255dbd84ece89f0;f2b3d026a0e183e9c2ea5cd2ae09791b84ab59e86c3d0f930d068e3b6d8aaa0c
54;89625;-1;2018-04-25 21:10:50.787781;f2b3d026a0e183e9c2ea5cd2ae09791b84ab59e86c3d0f930d068e3b6d8aaa0c;176a144b315e758059e71fe7b1524595b7a2bdea278dbd575a3787ddf9b5299e
55;4927;-1;2018-04-25 21:10:50.809972;176a144b315e758059e71fe7b1524595b7a2bdea278dbd575a3787ddf9b5299e;f1d8d17eb30535f6c8817051599515cda9f82d6f2ca5b94e4972d6ea4aaba023
56;16915;-1;2018-04-25 21:10:50.833809;f1d8d17eb30535f6c8817051599515cda9f82d6f2ca5b94e4972d6ea4aaba023;cd301b143b5b913176d862e03d382417878ce627008b5343d3fe94686c8a05ad
57;33761;-1;2018-04-25 21:10:50.855385;cd301b143b5b913176d862e03d382417878ce627008b5343d3fe94686c8a05ad;50a3a1bc149108a8e064b726c60152dae7486672cb654ad6214f258acc853ac3
58;56202;-1;2018-04-25 21:10:50.877823;50a3a1bc149108a8e064b726c60152dae7486672cb654ad6214f258acc853ac3;6f672203c72923231cce8d0ea5c29e599f8c77a32430ee81a3071071cd2295a5
59;42722;-1;2018-04-25 21:10:50.898446;6f672203c72923231cce8d0ea5c29e599f8c77a32430ee81a3071071cd2295a5;82dc1477b6e7e27afaa2ba09cc44a953891535c34ff93bcf594530798b6ef709
60;49023;-1;2018-04-25 21:10:50.918920;82dc1477b6e7e27afaa2ba09cc44a953891535c34ff93bcf594530798b6ef709;965b6015b04e8536ea4b5edc6104255e73a51613b9f4c62ecf0e76c24b9e57a3
61;16370;-1;2018-04-25 21:10:50.938075;965b6015b04e8536ea4b5edc6104255e73a51613b9f4c62ecf0e76c24b9e57a3;a19ee38b09973f275122d5baf00b786ee8446e1419c26286efb8c326025b0856
62;56665;-1;2018-04-25 21:10:50.961657;a19ee38b09973f275122d5baf00b786ee8446e1419c26286efb8c326025b0856;5369d4aea765194af99442bee3904f2f34684f2459a37e9a6876df2c46628203
63;95362;-1;2018-04-25 21:10:50.985001;5369d4aea765194af99442bee3904f2f34684f2459a37e9a6876df2c46628203;96b6272f6a42c0c58afa486d55bc59d63d510ed15ba24e9df3e180f9f328b130
64;22815;-1;2018-04-25 21:10:51.009748;96b6272f6a42c0c58afa486d55bc59d63d510ed15ba24e9df3e180f9f328b130;e5690516810df7e12e40503914a6d1af1d27149d4b9f91fad12d94227ade20e3
65;17988;-1;2018-04-25 21:10:51.034988;e5690516810df7e12e40503914a6d1af1d27149d4b9f91fad12d94227ade20e3;5c62a2ec6d2208f9ed74dbca51f68e1771c256f25e5b3d7c27490ec0db079c42
66;77586;-1;2018-04-25 21:10:51.056236;5c62a2ec6d2208f9ed74dbca51f68e1771c256f25e5b3d7c27490ec0db079c42;9a5513d0e49a00d4df7f649ee5f7c459049694556e225c077aa0e00e42c77072
67;17096;-1;2018-04-25 21:10:51.078888;9a5513d0e49a00d4df7f649ee5f7c459049694556e225c077aa0e00e42c77072;1c9a1be2191ecabe3791d382078ee42b7b8955a0d186339d5283f40379d4d67a
68;12423;-1;2018-04-25 21:10:51.099679;1c9a1be2191ecabe3791d382078ee42b7b8955a0d186339d5283f40379d4d67a;f1a040aca050d89579e2f36671f4c1858c7b3754a98a37fe5d7a6766fc67dcfa
69;5433;-1;2018-04-25 21:10:51.122320;f1a040aca050d89579e2f36671f4c1858c7b3754a98a37fe5d7a6766fc67dcfa;afa31a340f15360974d8f05292da1c82511c7d7764252fd526d8bb0391fe3d33
70;52843;-1;2018-04-25 21:10:51.144972;afa31a340f15360974d8f05292da1c82511c7d7764252fd526d8bb0391fe3d33;2f471710be3d59cadfcc606152bc2c6139439e9eae1f97c1bc91ef34c19f0297
71;7938;-1;2018-04-25 21:10:51.166962;2f471710be3d59cadfcc606152bc2c6139439e9eae1f97c1bc91ef34c19f0297;052a3f1a54c89e52daaad2fd95f167656778665bad75d9d683142b645d736795
72;55075;-1;2018-04-25 21:10:51.189873;052a3f1a54c89e52daaad2fd95f167656778665bad75d9d683142b645d736795;420f68ac5c8f41ac649909238ded001285028d504b846614957fb1a7ef5fa5cc
73;46806;-1;2018-04-25 21:10:51.211110;420f68ac5c8f41ac649909238ded001285028d504b846614957fb1a7ef5fa5cc;4f446aa12eecc7b2b75548924dd7656138c07f58370897dd002c2cc0c2209352
74;80909;-1;2018-04-25 21:10:51.232388;4f446aa12eecc7b2b75548924dd7656138c07f58370897dd002c2cc0c2209352;349b13fe33250422b45cc26a108ca79f458a1d2bf50e4f0caebfde0d376a13de
75;39346;-1;2018-04-25 21:10:51.256881;349b13fe33250422b45cc26a108ca79f458a1d2bf50e4f0caebfde0d376a13de;16dbe172f3aa03b12f01d6168c2924a11562c3d7e4bec8438ee68ed6ae6fa441
76;26278;-1;2018-04-25 21:10:51.279432;16dbe172f3aa03b12f01d6168c2924a11562c3d7e4bec8438ee68ed6ae6fa441;174141b6c5d93e9d927b22a67ff5de62632269aa11b60c7caceeb24fd07914af
